id,distractor,tv,reading,music,talking_phone,messaging,socnet,comp_video,other_comp,games,tv_socnet,tv_messaging,tv_comp_video,tv_other_comp,socnet_tv,socnet_messaging,socnet_comp_video,socnet_other_comp,messaging_tv,messaging_socnet,messaging_comp_video,messaging_other_comp,comp_video_tv,comp_video_socnet,comp_video_messaging,comp_video_other_comp,other_comp_tv,other_comp_socnet,other_comp_messaging,other_comp_comp_video,yob,gender,first_language,faculty,academic_performance,parents_qualification,navigation_tool,life1,life2,life3,recall_1,recall_2
302,absa,Not at all,30 minute to 1 hour,3 hours or more,Less than 30 minutes,2-3 hours,2-3 hours,2-3 hours,1-2 hours,Not at all,Never,Never,Never,Never,Never,Very often,Never,Never,Never,Never,Often,Never,Never,Never,Often,Never,Never,Sometimes,Sometimes,Never,1997,Male,Other European language,Arts and Social Sciences,60-65%,University - Masters or PhD,Touch pad,19,8,4,Absa,Business growth
303,absa,Less than 30 minutes,Not at all,3 hours or more,Less than 30 minutes,3 hours or more,3 hours or more,1-2 hours,Less than 30 minutes,Not at all,Sometimes,Often,Never,Never,Often,Never,Often,Never,Often,Sometimes,Often,Never,Never,Sometimes,Often,Never,Never,Sometimes,Often,Never,1997,Male,English,Engineering,45-50%,University - Masters or PhD,Touch pad,14,4,32,Absa,Personal growth
304,absa,Not at all,Less than 30 minutes,30 minute to 1 hour,Less than 30 minutes,2-3 hours,2-3 hours,1-2 hours,Less than 30 minutes,Not at all,Often,Often,Never,Sometimes,Often,Often,Often,Sometimes,Often,Very often,Sometimes,Sometimes,Never,Very often,Often,Sometimes,Sometimes,Often,Often,Often,1994,Female,English,Medicine and Health Sciences,55-60%,University - Bachelors,Touch pad,6,19,24,Standard Bank,Shared growth
305,absa,Not at all,2-3 hours,3 hours or more,30 minute to 1 hour,3 hours or more,2-3 hours,Not at all,Less than 30 minutes,Not at all,Often,Often,Never,Never,Sometimes,Very often,Never,Sometimes,Sometimes,Very often,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,1999,Female,Other African language,Engineering,60-65%,University - Masters or PhD,Mouse,9,8,8,Absa,Business growth
306,absa,Not at all,2-3 hours,3 hours or more,30 minute to 1 hour,3 hours or more,1-2 hours,2-3 hours,2-3 hours,Not at all,Sometimes,Often,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Often,Sometimes,Sometimes,1996,Female,Afrikaans,Science,80-85%,University - Honours,Touch pad,12,17,11,Standard Bank,Capital growth
307,absa,30 minute to 1 hour,Less than 30 minutes,2-3 hours,Less than 30 minutes,1-2 hours,30 minute to 1 hour,Less than 30 minutes,Less than 30 minutes,Not at all,Often,Often,Never,Sometimes,Often,Often,Never,Never,Often,Often,Never,Never,Never,Sometimes,Often,Never,Never,Sometimes,Often,Never,1994,Female,Afrikaans,Theology,65-70%,Matric,Mouse,37,40,47,Absa,Capital growth
308,absa,Not at all,30 minute to 1 hour,30 minute to 1 hour,Less than 30 minutes,1-2 hours,Less than 30 minutes,Not at all,Less than 30 minutes,Not at all,Often,Often,Sometimes,Often,Never,Often,Sometimes,Often,Never,Often,Sometimes,Often,Never,Often,Often,Often,Never,Often,Often,Sometimes,1994,Female,Afrikaans,Medicine and Health Sciences,65-70%,University - Honours,Mouse,40,41,26,Absa,Shared growth
309,absa,1-2 hours,2-3 hours,2-3 hours,1-2 hours,3 hours or more,2-3 hours,3 hours or more,2-3 hours,Not at all,Often,Sometimes,Sometimes,Often,Very often,Often,Often,Often,Never,Sometimes,Often,Sometimes,Never,Sometimes,Often,Never,Never,Often,Often,Never,1992,Male,Afrikaans,Medicine and Health Sciences,55-60%,Matric,Touch pad,20,40,12,Absa,Personal growth
310,absa,Less than 30 minutes,Not at all,Not at all,Less than 30 minutes,30 minute to 1 hour,1-2 hours,30 minute to 1 hour,30 minute to 1 hour,Not at all,Sometimes,Often,Never,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Never,Never,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,1995,Male,Afrikaans,Engineering,60-65%,University - Bachelors,Mouse,23,11,26,Absa,Personal growth
311,absa,2-3 hours,Not at all,3 hours or more,Not at all,Less than 30 minutes,30 minute to 1 hour,2-3 hours,1-2 hours,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,1996,Male,Afrikaans,Engineering,80-85%,University - Masters or PhD,Mouse,4,61,22,Standard Bank,Personal growth
